Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Fixation Count	Fixation Frequency [count/s]	Fixation Duration Total [ms]	Fixation Duration Average [ms]	Fixation Duration Maximum [ms]	Fixation Duration Minimum [ms]	Fixation Dispersion Total [px]	Fixation Dispersion Average [px]	Fixation Dispersion Maximum [px]	Fixation Dispersion Minimum [px]	Saccade Count	Saccade Frequency [count/s]	Saccade Duration Total [ms]	Saccade Duration Average [ms]	Saccade Duration Maximum [ms]	Saccade Duration Minimum [ms]	Saccade Amplitude Total [°]	Saccade Amplitude Average [°]	Saccade Amplitude Maximum [°]	Saccade Amplitude Minimum [°]	Saccade Velocity Total [°/s]	Saccade Velocity Average [°/s]	Saccade Velocity Maximum [°/s]	Saccade Velocity Minimum [°/s]	Saccade Latency Average [ms]	Blink Count	Blink Frequency [count/s]	Blink Duration Total [ms]	Blink Duration Average [ms]	Blink Duration Maximum [ms]	Blink Duration Minimum [ms]	Left Mouse Click Count	Left Mouse Click Frequency [count/s]	Right Mouse Click Count	Right Mouse Click Frequency [count/s]	Scanpath Length [px]
Trial007	ljubicasta.rtf	0.0	33976.2	Reading47	MediumBlue	58	1.7	32268.4	556.4	1953.0	83.5	9559.4	164.8	271.1	29.0	54	1.6	1218.6	22.6	83.5	16.7	90.4	1.7	17.7	0.0	2155.6	39.9	218.4	1.6	602.5	4	0.1	417.4	104.3	116.9	100.2	0	0.0	0	0.0	15114
Trial007	ljubicasta.rtf	0.0	38047.2	Reading48	MediumOrchid	57	1.5	34622.3	607.4	1903.3	100.1	9009.3	158.1	322.4	9.4	41	1.1	767.9	18.7	66.8	16.7	41.6	1.0	10.6	0.0	1765.0	43.0	429.7	2.7	893.1	16	0.4	2136.8	133.6	534.3	83.5	0	0.0	0	0.0	14399
Trial007	ljubicasta.rtf	0.0	36433.3	Reading49	MediumPurple	52	1.4	33454.0	643.3	2320.3	116.8	8611.8	165.6	236.7	34.3	37	1.0	784.6	21.2	83.5	16.7	42.9	1.2	16.3	0.0	871.1	23.5	195.8	1.5	948.3	14	0.4	1752.8	125.2	167.0	100.1	0	0.0	0	0.0	14369
Trial007	ljubicasta.rtf	0.0	40248.6	Reading50	MediumSeaGreen	60	1.5	38595.7	643.3	1536.0	116.9	8778.3	146.3	222.6	22.4	56	1.4	1201.9	21.5	83.5	16.7	67.9	1.2	14.7	0.0	1715.8	30.6	176.4	1.3	703.9	3	0.1	384.0	128.0	133.6	116.9	0	0.0	0	0.0	14689
Trial007	ljubicasta.rtf	0.0	29808.0	Reading51	MediumSlateBlue	49	1.6	28712.7	586.0	1185.3	133.5	7965.7	162.6	224.0	12.3	48	1.6	1068.4	22.3	83.5	16.7	73.3	1.5	14.7	0.0	1709.2	35.6	190.4	2.5	601.0	0	0.0	0.0	-	-	-	0	0.0	0	0.0	14089
Trial007	ljubicasta.rtf	0.0	38659.8	Reading52	MediumSpringGreen	60	1.6	37159.9	619.3	1585.8	100.2	8662.4	144.4	198.4	44.1	58	1.5	1352.1	23.3	183.6	16.7	87.1	1.5	19.4	0.0	1998.8	34.5	184.3	1.5	640.2	1	0.0	100.2	100.2	100.2	100.2	0	0.0	0	0.0	14757
Trial007	ljubicasta.rtf	0.0	41222.9	Reading53	MediumTurquoise	50	1.2	39948.0	799.0	1652.7	133.5	9424.2	188.5	282.9	56.7	47	1.1	1034.9	22.0	83.5	16.7	78.7	1.7	17.3	0.0	1778.7	37.8	334.6	1.4	863.7	0	0.0	0.0	-	-	-	0	0.0	0	0.0	14867
Trial007	ljubicasta.rtf	0.0	34159.8	Reading54	MediumVioletRed	54	1.6	31717.8	587.4	1435.6	83.5	8675.6	160.7	228.2	22.9	49	1.4	1135.1	23.2	150.2	16.7	78.9	1.6	18.7	0.0	1838.3	37.5	458.2	1.2	682.0	8	0.2	1101.7	137.7	200.3	100.2	0	0.0	0	0.0	13674
Trial007	ljubicasta.rtf	0.0	34023.2	Reading55	MidnightBlue	65	1.9	31683.9	487.4	1418.8	83.5	8251.1	126.9	200.4	9.9	56	1.6	1318.8	23.5	83.5	16.7	90.7	1.6	14.8	0.0	2086.9	37.3	177.3	1.0	574.9	8	0.2	884.7	110.6	167.0	83.5	0	0.0	0	0.0	16217
Trial007	ljubicasta.rtf	0.0	34546.3	Reading56	Moccasin	55	1.6	32936.3	598.8	1452.4	100.2	9464.2	172.1	275.0	25.1	51	1.5	1118.4	21.9	83.5	16.7	73.3	1.4	15.3	0.0	1583.0	31.0	183.7	1.5	645.0	3	0.1	417.3	139.1	217.0	100.2	0	0.0	0	0.0	15123
